# Z symbol | subshell config (Madelung order, full form) | shell config (per n) | exception note
1 H | 1s¹ | 1 | 
2 He | 1s² | 2 | 
3 Li | 1s² 2s¹ | 2, 1 | 
4 Be | 1s² 2s² | 2, 2 | 
5 B | 1s² 2s² 2p¹ | 2, 3 | 
6 C | 1s² 2s² 2p² | 2, 4 | 
7 N | 1s² 2s² 2p³ | 2, 5 | 
8 O | 1s² 2s² 2p⁴ | 2, 6 | 
9 F | 1s² 2s² 2p⁵ | 2, 7 | 
10 Ne | 1s² 2s² 2p⁶ | 2, 8 | 
11 Na | 1s² 2s² 2p⁶ 3s¹ | 2, 8, 1 | 
12 Mg | 1s² 2s² 2p⁶ 3s² | 2, 8, 2 | 
13 Al | 1s² 2s² 2p⁶ 3s² 3p¹ | 2, 8, 3 | 
14 Si | 1s² 2s² 2p⁶ 3s² 3p² | 2, 8, 4 | 
15 P | 1s² 2s² 2p⁶ 3s² 3p³ | 2, 8, 5 | 
16 S | 1s² 2s² 2p⁶ 3s² 3p⁴ | 2, 8, 6 | 
17 Cl | 1s² 2s² 2p⁶ 3s² 3p⁵ | 2, 8, 7 | 
18 Ar | 1s² 2s² 2p⁶ 3s² 3p⁶ | 2, 8, 8 | 
19 K | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s¹ | 2, 8, 8, 1 | 
20 Ca | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² | 2, 8, 8, 2 | 
21 Sc | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹ | 2, 8, 9, 2 | 
22 Ti | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d² | 2, 8, 10, 2 | 
23 V | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d³ | 2, 8, 11, 2 | 
24 Cr | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s¹ 3d⁵ | 2, 8, 13, 1 | ★ ข้อยกเว้น: d⁵ ครึ่งเต็ม เสถียรกว่า
25 Mn | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁵ | 2, 8, 13, 2 | 
26 Fe | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁶ | 2, 8, 14, 2 | 
27 Co | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁷ | 2, 8, 15, 2 | 
28 Ni | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁸ | 2, 8, 16, 2 | 
29 Cu | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s¹ 3d¹⁰ | 2, 8, 18, 1 | ★ ข้อยกเว้น: d¹⁰ เต็ม เสถียรกว่า
30 Zn | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ | 2, 8, 18, 2 | 
31 Ga | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p¹ | 2, 8, 18, 3 | 
32 Ge | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p² | 2, 8, 18, 4 | 
33 As | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p³ | 2, 8, 18, 5 | 
34 Se | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁴ | 2, 8, 18, 6 | 
35 Br | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁵ | 2, 8, 18, 7 | 
36 Kr | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ | 2, 8, 18, 8 | 
37 Rb | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s¹ | 2, 8, 18, 8, 1 | 
38 Sr | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² | 2, 8, 18, 8, 2 | 
39 Y | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹ | 2, 8, 18, 9, 2 | 
40 Zr | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d² | 2, 8, 18, 10, 2 | 
41 Nb | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s¹ 4d⁴ | 2, 8, 18, 12, 1 | ★ ข้อยกเว้นจากลำดับการบรรจุ
42 Mo | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s¹ 4d⁵ | 2, 8, 18, 13, 1 | ★ ข้อยกเว้น: d⁵ ครึ่งเต็ม เสถียรกว่า
43 Tc | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d⁵ | 2, 8, 18, 13, 2 | 
44 Ru | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s¹ 4d⁷ | 2, 8, 18, 15, 1 | ★ ข้อยกเว้นจากลำดับการบรรจุ
45 Rh | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s¹ 4d⁸ | 2, 8, 18, 16, 1 | ★ ข้อยกเว้นจากลำดับการบรรจุ
46 Pd | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 4d¹⁰ | 2, 8, 18, 18 | ★ ข้อยกเว้น: 4d¹⁰ 5s⁰ (d¹⁰ เต็ม เสถียรกว่า)
47 Ag | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s¹ 4d¹⁰ | 2, 8, 18, 18, 1 | ★ ข้อยกเว้น: d¹⁰ เต็ม เสถียรกว่า
48 Cd | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ | 2, 8, 18, 18, 2 | 
49 In | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p¹ | 2, 8, 18, 18, 3 | 
50 Sn | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p² | 2, 8, 18, 18, 4 | 
51 Sb | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p³ | 2, 8, 18, 18, 5 | 
52 Te | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁴ | 2, 8, 18, 18, 6 | 
53 I | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁵ | 2, 8, 18, 18, 7 | 
54 Xe | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ | 2, 8, 18, 18, 8 | 
55 Cs | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s¹ | 2, 8, 18, 18, 8, 1 | 
56 Ba | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² | 2, 8, 18, 18, 8, 2 | 
57 La | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 5d¹ | 2, 8, 18, 18, 9, 2 | ★ ข้อยกเว้นจากลำดับการบรรจุ
58 Ce | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f¹ 5d¹ | 2, 8, 18, 19, 9, 2 | ★ ข้อยกเว้นจากลำดับการบรรจุ
59 Pr | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f³ | 2, 8, 18, 21, 8, 2 | 
60 Nd | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f⁴ | 2, 8, 18, 22, 8, 2 | 
61 Pm | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f⁵ | 2, 8, 18, 23, 8, 2 | 
62 Sm | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f⁶ | 2, 8, 18, 24, 8, 2 | 
63 Eu | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f⁷ | 2, 8, 18, 25, 8, 2 | 
64 Gd | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f⁷ 5d¹ | 2, 8, 18, 25, 9, 2 | ★ ข้อยกเว้นจากลำดับการบรรจุ
65 Tb | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f⁹ | 2, 8, 18, 27, 8, 2 | 
66 Dy | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f¹⁰ | 2, 8, 18, 28, 8, 2 | 
67 Ho | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d¹⁰ 4p⁶ 5s² 4d¹⁰ 5p⁶ 6s² 4f¹¹ | 2, 8, 18, 29, 8, 2 | 
